Gene,P-value
SRF,0.026642703045816285
LRP10,0.011500401135569827
FASLG,0.0495275033727961
LOC102724185,0.03819494045422256
FAM65A,0.02660875322281464
TOR2A,0.04630350075620582
TCAF2,0.02217158684965015
TF,0.041024600417959745
VWF,0.022964368333577845
EDN3,0.0379123730279286
NKG7,0.03225974451798597
FHOD1,0.03021248256765352
GNA14,0.040158893346480595
GPR108,0.032754582722350545
MBD3L2,0.030415721982690935
TMEM8A,0.04189792723874697
LTC4S,0.021738940990844502
ZMAT4,0.010764654318841105
TTTY14,0.016224606854447376
EFCAB12,0.0308600548691067
EMX1,0.017695088551749283
MFSD9,0.028858981650439985
SPATC1L,0.023516999994861676
CYP4B1,0.030732665924990465
KLRC2,0.03189676114655948
TF,0.019415850436408477
POLD4,0.04834541766325773
LINC00626,0.00015468390388528874
ASRGL1,0.02435511612252106
UNC5C,0.03848781315859384
RASGRP4,0.01345010404695357
CEP170B,0.012936150760946452
DEFB125,0.022502637591974572
F2RL2,0.010366248124297872
NYX,0.027540790861806386
MKNK2,0.0185916647623644
COL5A3,0.028281892995692393
NUMBL,0.02826912320130448
DAO,0.04059730730824007
CSF2RB,0.03675721306493718
FBXO17,0.018139579613254075
USHBP1,0.04877196529049088
ACTG1P4,0.023967767692018138
CMKLR1,0.018948423836463446
B3GNT4,0.025079523525435632
SLC22A23,0.0041958713871480535
GRIK2,0.04550742086951931
TEAD3,0.044295156689204696
TIAM1,0.001966987581937474
ZNF213,0.0011727881739137525
TUBA3FP,0.04506058846543193
JARID2-AS1,0.030573237553721433
SULT1A4,0.012118848610091604
STK4-AS1,0.0358363265972661
TMEM150C,0.0263204052709769
OR7D2,0.011329914308004785
OSCP1,0.030009778851987523
KCNG1,0.03601594204040248
PRKD2,0.019026788766391523
SPINK7,0.006797435992678569
SPTY2D1-AS1,0.023324997545161263
WNT7A,0.041558356782617434
ACTN1,0.0076205685297331405
TMEM80,0.03853219961124921
PEBP4,0.035116867857748923
SERPINB13,0.043099282432416564
CCL5,0.007419555198425409
THEMIS2,0.012817002189252191
MAP3K3,0.04007346711825932
SDCBP2,0.02749561235817244
MARK2,0.024558983238448406
NCKAP5L,0.04652392431683394
PTPN6,0.012511442801866224
HIST1H3D,0.035347363153762745
AGER,0.027296749079767868
CYHR1,0.0403884108681154
PGS1,0.016583559984833407
AKAP5,0.006598367746240785
ZNF415,0.01917285416810599
BIN3,0.031123422391441946
ZNF471,0.028635888086289474
MEGF6,0.035982766301809965
DTWD2,0.028989509946541148
IRS2,0.011935855576247323
CCL8,0.03762045860646934
EOMES,0.01309285715997488
MBOAT7,0.02319344272321122
MTFP1,0.020516980618946024
TREML2,0.041970434341100704
SLC9A9,0.03561844614129572
ZBTB47,0.019192468306717614
PPP2R2B,0.04446797636106381
ARHGAP24,0.045512449554062084
ADD1,0.04817087699446132
CHRD,0.04392112554726202
ACTN1,0.006847077398241197
KIF19,0.024923459653822255
ZFP30,0.04096379979796749
EPOR,0.03676511287522377
CCK,0.03072626108091192
LINC01506,0.03558577438806532
ZBTB47,0.03040956154168528
CACNG8,0.04503227233388618
IDS,0.038740545739604615
ALDH3B2,0.049845411092426684
HGSNAT,0.04327859545738055
